Driver,Team,QualiPosition,QualiLap,AvgLapTime (s),RacePosition,TotalRaceTime_s,Seat,Round,Circuit,TrackTemp,Rainfall,DriverMomentum,Quali_form,Race_form,DNF
ALB,Williams,15.0,91.461,98.416954545,10.0,5726.51,Williams_1,1,Sakhir,31.01180124223602,False,0.0,15.0,10.0,0
ALO,AstonMartin,5.0,90.336,98.07356,3.0,5675.373,AstonMartin_1,1,Sakhir,31.01180124223602,False,0.0,5.0,3.0,0
BOT,KickSauber,12.0,91.443,98.625791666,8.0,5709.383,KickSauber_1,1,Sakhir,31.01180124223602,False,0.0,12.0,8.0,0
DEV,RacingBulls,19.0,92.121,99.0452,14.0,5659.259,RacingBulls_1,1,Sakhir,31.01180124223602,False,0.0,19.0,14.0,0
GAS,Alpine,20.0,92.181,97.946863636,9.0,5710.489,Alpine_1,1,Sakhir,31.01180124223602,False,0.0,20.0,9.0,0
HAM,Mercedes,7.0,90.384,98.29978,5.0,5687.713,Mercedes_1,1,Sakhir,31.01180124223602,False,0.0,7.0,5.0,0
HUL,Haas,10.0,90.809,98.415,15.0,5675.647,Haas_2,1,Sakhir,31.01180124223602,False,0.0,10.0,15.0,0
LEC,Ferrari,3.0,90.0,98.413714285,19.0,,Ferrari_1,1,Sakhir,31.01180124223602,False,0.0,3.0,19.0,1
MAG,Haas,17.0,91.892,98.22475,13.0,5653.493,Haas_1,1,Sakhir,31.01180124223602,False,0.0,17.0,13.0,0
NOR,McLaren,11.0,91.381,98.193210526,17.0,5643.372,McLaren_1,1,Sakhir,31.01180124223602,False,0.0,11.0,17.0,0
OCO,Alpine,9.0,90.914,99.079392857,18.0,,Alpine_2,1,Sakhir,31.01180124223602,False,0.0,9.0,18.0,1
PER,RedBullRacing,2.0,89.846,97.735490196,2.0,5648.723,RedBullRacing_2,1,Sakhir,31.01180124223602,False,0.0,2.0,2.0,0
PIA,McLaren,18.0,92.101,,,,McLaren_2,1,Sakhir,31.01180124223602,False,0.0,18.0,18.0,1
RUS,Mercedes,6.0,90.34,98.280979591,7.0,5692.609,Mercedes_2,1,Sakhir,31.01180124223602,False,0.0,6.0,7.0,0
SAI,Ferrari,4.0,90.154,98.325705882,4.0,5684.788,Ferrari_2,1,Sakhir,31.01180124223602,False,0.0,4.0,4.0,0
SAR,Williams,16.0,91.652,98.49104878,12.0,5637.872,Williams_2,1,Sakhir,31.01180124223602,False,0.0,16.0,12.0,0
STR,AstonMartin,8.0,90.836,98.238125,6.0,5691.238,AstonMartin_2,1,Sakhir,31.01180124223602,False,0.0,8.0,6.0,0
TSU,RacingBulls,14.0,91.4,98.338681818,11.0,5727.606,RacingBulls_2,1,Sakhir,31.01180124223602,False,0.0,14.0,11.0,0
VER,RedBullRacing,1.0,89.708,97.495882352,1.0,5636.736,RedBullRacing_1,1,Sakhir,31.01180124223602,False,0.0,1.0,1.0,0
ZHO,KickSauber,13.0,91.473,98.711567567,16.0,5676.385,KickSauber_2,1,Sakhir,31.01180124223602,False,0.0,13.0,16.0,0
ALB,Williams,17.0,89.994,96.627,19.0,,Williams_1,2,Jeddah,31.79256756756757,False,-5.0,16.5,16.75,1
ALO,AstonMartin,3.0,88.73,94.095723404,3.0,4895.622,AstonMartin_1,2,Jeddah,31.79256756756757,False,-2.0,3.5,3.0,0
BOT,KickSauber,14.0,89.668,96.189055555,18.0,4904.478,KickSauber_1,2,Jeddah,31.79256756756757,False,-4.0,13.5,15.5,0
DEV,RacingBulls,18.0,90.244,95.651,14.0,4952.372,RacingBulls_1,2,Jeddah,31.79256756756757,False,-5.0,18.25,14.0,0
GAS,Alpine,10.0,89.357,95.026785714,9.0,4929.6410000000005,Alpine_1,2,Jeddah,31.79256756756757,False,-11.0,12.5,9.0,0
HAM,Mercedes,8.0,89.223,94.632521739,5.0,4905.959,Mercedes_1,2,Jeddah,31.79256756756757,False,-2.0,7.75,5.0,0
HUL,Haas,11.0,89.451,95.457095238,12.0,4945.482,Haas_2,2,Jeddah,31.79256756756757,False,5.0,10.75,12.75,0
LEC,Ferrari,2.0,88.42,94.756311111,7.0,4918.0560000000005,Ferrari_1,2,Jeddah,31.79256756756757,False,16.0,2.25,10.0,0
MAG,Haas,13.0,89.634,95.228333333,10.0,4939.72,Haas_1,2,Jeddah,31.79256756756757,False,-4.0,14.0,10.75,0
NOR,McLaren,19.0,90.447,95.632309523,17.0,4961.339,McLaren_1,2,Jeddah,31.79256756756757,False,6.0,17.0,17.0,0
