Driver,Team,QualiPosition,QualiLap,AvgLapTime (s),RacePosition,TotalRaceTime_s,Seat,Round,Circuit,TrackTemp,Rainfall,DriverMomentum,Quali_form,Race_form,DNF
ALB,Williams,14.0,92.664,99.73946875,13.0,5907.516,Williams_1,1,Sakhir,28.61042944785276,False,0.0,14.0,13.0,0
ALO,Alpine,8.0,91.621,99.36304878,9.0,5875.974,Alpine_1,1,Sakhir,28.61042944785276,False,0.0,8.0,9.0,0
BOT,KickSauber,6.0,91.56,99.171,6.0,5869.703,KickSauber_1,1,Sakhir,28.61042944785276,False,0.0,6.0,6.0,0
GAS,RacingBulls,10.0,91.635,99.43181081,20.0,,RacingBulls_1,1,Sakhir,28.61042944785276,False,0.0,10.0,20.0,1
HAM,Mercedes,5.0,91.048,98.266244444,3.0,5863.259,Mercedes_1,1,Sakhir,28.61042944785276,False,0.0,5.0,3.0,0
HUL,AstonMartin,17.0,92.777,99.605233333,17.0,5917.413,AstonMartin_1,1,Sakhir,28.61042944785276,False,0.0,17.0,17.0,0
LAT,Williams,20.0,93.634,99.783357142,16.0,5915.379,Williams_2,1,Sakhir,28.61042944785276,False,0.0,20.0,16.0,0
LEC,Ferrari,1.0,90.558,97.604208333,1.0,5853.584,Ferrari_1,1,Sakhir,28.61042944785276,False,0.0,1.0,1.0,0
MAG,Haas,7.0,91.461,98.852833333,5.0,5868.338,Haas_1,1,Sakhir,28.61042944785276,False,0.0,7.0,5.0,0
MSC,Haas,12.0,91.998,99.586513513,11.0,5886.157999999999,Haas_2,1,Sakhir,28.61042944785276,False,0.0,12.0,11.0,0
NOR,McLaren,13.0,92.008,99.037347826,15.0,5909.919,McLaren_1,1,Sakhir,28.61042944785276,False,0.0,13.0,15.0,0
OCO,Alpine,11.0,91.782,99.226604651,7.0,5873.007,Alpine_2,1,Sakhir,28.61042944785276,False,0.0,11.0,7.0,0
PER,RedBullRacing,4.0,90.921,98.1555,18.0,,RedBullRacing_2,1,Sakhir,28.61042944785276,False,0.0,4.0,18.0,1
RIC,McLaren,18.0,92.945,99.51965625,14.0,5908.559,McLaren_2,1,Sakhir,28.61042944785276,False,0.0,18.0,14.0,0
RUS,Mercedes,9.0,91.252,98.639021739,4.0,5864.795,Mercedes_2,1,Sakhir,28.61042944785276,False,0.0,9.0,4.0,0
SAI,Ferrari,3.0,90.687,98.079957446,2.0,5859.182,Ferrari_2,1,Sakhir,28.61042944785276,False,0.0,3.0,2.0,0
STR,AstonMartin,19.0,93.032,99.38767647,12.0,5899.456999999999,AstonMartin_2,1,Sakhir,28.61042944785276,False,0.0,19.0,12.0,0
TSU,RacingBulls,16.0,92.75,99.266523809,8.0,5873.97,RacingBulls_2,1,Sakhir,28.61042944785276,False,0.0,16.0,8.0,0
VER,RedBullRacing,2.0,90.681,97.947813953,19.0,,RedBullRacing_1,1,Sakhir,28.61042944785276,False,0.0,2.0,19.0,1
ZHO,KickSauber,15.0,92.493,99.068263157,10.0,5876.648,KickSauber_2,1,Sakhir,28.61042944785276,False,0.0,15.0,10.0,0
ALB,Williams,17.0,90.492,96.002071428,14.0,,Williams_1,2,Jeddah,28.40921052631579,False,-1.0,16.25,13.75,1
ALO,Alpine,7.0,89.147,95.786928571,16.0,3445.92717,Alpine_1,2,Jeddah,28.40921052631579,False,1.0,7.25,14.25,0
BOT,KickSauber,8.0,89.183,95.992178571,15.0,3537.694116,KickSauber_1,2,Jeddah,28.40921052631579,False,0.0,7.5,12.75,0
GAS,RacingBulls,9.0,89.254,95.498567567,8.0,5122.239,RacingBulls_1,2,Jeddah,28.40921052631579,False,10.0,9.25,11.0,0
HAM,Mercedes,16.0,90.343,95.234368421,10.0,5133.241,Mercedes_1,2,Jeddah,28.40921052631579,False,-2.0,13.25,8.25,0
HUL,AstonMartin,18.0,90.543,95.963114285,12.0,5151.035,AstonMartin_1,2,Jeddah,28.40921052631579,False,0.0,17.75,13.25,0
LAT,Williams,19.0,91.817,97.7105,18.0,,Williams_2,2,Jeddah,28.40921052631579,False,-4.0,19.25,17.5,1
LEC,Ferrari,2.0,88.225,93.750666666,2.0,5059.842,Ferrari_1,2,Jeddah,28.40921052631579,False,0.0,1.75,1.75,0
MAG,Haas,10.0,89.546,95.2664,9.0,5123.601,Haas_1,2,Jeddah,28.40921052631579,False,-2.0,9.25,8.0,0
MSC,Haas,14.0,89.92,,,,Haas_2,2,Jeddah,28.40921052631579,False,-1.0,13.5,13.5,0
NOR,McLaren,11.0,89.651,95.441315789,7.0,5115.417,McLaren_1,2,Jeddah,28.40921052631579,False,2.0,11.5,9.0,0
OCO,Alpine,5.0,89.068,95.289,6.0,5115.31,Alpine_2,2,Jeddah,28.40921052631579,False,-4.0,6.5,6.25,0
PER,RedBullRacing,1.0,88.2,93.772268292,4.0,5070.093,RedBullRacing_2,2,Jeddah,28.40921052631579,False,14.0,1.75,7.5,0
RIC,McLaren,12.0,89.773,95.833208333,17.0,,McLaren_2,2,Jeddah,28.40921052631579,False,-4.0,13.5,16.25,1
RUS,Mercedes,6.0,89.104,94.608634146,5.0,5092.025,Mercedes_2,2,Jeddah,28.40921052631579,False,-5.0,6.75,4.75,0
SAI,Ferrari,3.0,88.402,93.832682926,3.0,5067.389999999999,Ferrari_2,2,Jeddah,28.40921052631579,False,-1.0,3.0,2.75,0
STR,AstonMartin,15.0,90.256,96.132064516,13.0,4972.708699,AstonMartin_2,2,Jeddah,28.40921052631579,False,-7.0,16.0,12.75,0
TSU,RacingBulls,20.0,,,,,RacingBulls_2,2,Jeddah,28.40921052631579,False,-8.0,19.0,19.0,1
VER,RedBullRacing,4.0,88.461,93.685878048,1.0,5059.293,RedBullRacing_1,2,Jeddah,28.40921052631579,False,17.0,3.5,5.5,0
